ID,Name in the language,Name in English,Alternate names,Countries,Country codes,Description of the location(s),Latitude,Longitude,Degree of endangerment,Number of speakers,Date/accuracy of estimate,Sources
01790,,!Gan!ne,"!Gã!ne, Seroa, related to //Ku //’e",South Africa,ZA,,-31.3911,26.6748,extinct,0,2005,Anthony Traill
01787,,!Xoon,"Xóõ, West-!Xóõ = Nambian Taa, East-!Xóõ = Botswanan Taa",Botswana,BW,"Pointer at centre of settlment area, Botswana (3500?) and Namibia (500).",-24.1367,20.1049,definitely endangered,4000,"West-!Xóõ spoken by about 500 in Namibia (Christfried Naumann), and maybe 3500 speak East-!Xóõ (Anthony Trail). Ongoing research of a research group with Tom Güldemann, Christfried Naumann, Alena Witklack-Makarevich.","Christfried Naumann (p.c.), Tom Güldemann (p.c.)"
00112,,’Ongota,Birale,Ethiopia,ET,,5.3207,37.2244,critically endangered,8,2007,"Graziano Savà, Mauro Tosco, Aklilu Yilma, Harold Fleming"
01472,,’Langthang Tibetan,_______ ____,Nepal,NP,"near ’Langthang Him_l, in the northern part of B_gmat_ zone.",28.2100,85.5697,definitely endangered,0,unknown number of speakers,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.Driem, George van. 2007. ’South Asia and the Middle East’, pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge.ethnologue.com"
01479,,’Loke Tibetan,,Nepal,NP,Mustang district,28.8200,83.7721,definitely endangered,0,unknown number of speakers,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.Driem, George van. 2007. ’South Asia and the Middle East’, pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge.ethnologue.com"
01445,,’Narpa,Nar Phu; Narphu,Nepal,NP,’Nar and Phu valleys,28.7315,84.2610,definitely endangered,533,1971,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.Driem, George van. 2007. ’South Asia and the Middle East’, pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge.ethnologue.com"
01579,,’Nyenkha,Henkha; Mangdebi-kha; Monpa; Ole Mönpa,Bhutan,BT,Mangde river valley,27.4595,90.4119,vulnerable,10000,1991 census,"Driem, George van. 1991. Report on the First Linguistic Survey of Bhutan. Thimphu: Royal Government of Bhutan.Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.Driem, George van. 2007. ’South Asia and the Middle East’, pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge.ethnologue.com"
01446,,’Nyishangba,,Nepal,NP,Manang valley,28.6423,84.1017,definitely endangered,2000,Van Driem 2007,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.Driem, George van. 2007. ’South Asia and the Middle East’, pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge.ethnologue.com"
00168,,/’Auni,,South Africa,ZA,,-26.0105,20.3630,extinct,0,2005,Anthony Traill
01740,,//Ani,,Botswana,BW,Settlements along the Okavango delta panhandle.,-18.6462,22.1319,definitely endangered,1000,2003,Matthias Brenzinger
01721,,//Gana,,Botswana,BW,"Pointer in centre of settlement region. Main //Gana settlements Kxoensakere (New Xade) (550), Kaudwane (150), Someto (100), Xere (100). Some scattered on farms.",-21.7824,21.8971,vulnerable,1550,2008,Junko Maruyama (p.c.)
01789,,//Ku //’e,Seroa,South Africa,ZA,Border area of Lesotho and South Africa,-29.9739,27.0812,extinct,0,2005,Anthony Traill
01791,,//Kx’au,,South Africa,ZA,,-32.2896,21.7968,extinct,0,2005,Anthony Traill
00167,,//Xegwi,,South Africa,ZA,"Lake Chrissie, Eastern Transvaal.",-25.3500,30.9900,extinct,0,2002,"Anthony Traill, 2002’ The Khoesan languages’, in Rajend Mestrie (ed.) Language of South Africa. CUP"
01720,,/Gui,G/wi,Botswana,BW,"Pointer at main settlement New Xade (900), others Khekhenye (less than 100), Kageae (20), and Kaotoane daane (12).",-21.8385,21.7858,vulnerable,1000,2008,Hirosi Nakagawa (p.c.)
01750,,/Xaise,Language belonging to the Shua-Tshwa cluster.,Botswana,BW,Pointer at settlement.,-21.2458,26.1776,critically endangered,200,2008,Andrew Chebanne (p.c.)
00173,,/Xam,,South Africa,ZA,,-32.2853,20.7590,extinct,0,2008,Dorothea Bleek
01745,,=/Hoa,"_Hõã, Eastern _Hõã",Botswana,BW,Pointer in geographic centre of settlement area.,-24.1668,24.4885,critically endangered,140,2008,Kemmonye Monaka (p.c.)
